h-index,organization,type
347,google,Organization
314,microsoft,Organization
216,apache,Organization
206,fossasia,Organization
203,sindresorhus,User
142,googlearchive,Organization
137,mozilla,Organization
133,alibaba,Organization
132,spatie,Organization
132,codrops,Organization
125,facebook,Organization
124,Azure,Organization
119,facebookarchive,Organization
118,awslabs,Organization
112,facebookresearch,Organization
112,GoogleCloudPlatform,Organization
108,mapbox,Organization
108,aws-samples,Organization
108,keijiro,User
107,symfony,Organization
102,substack,User
102,llSourcell,User
101,udacity,Organization
96,tj,User
95,Netflix,Organization
93,github,Organization
92,square,Organization
88,adafruit,Organization
87,Tencent,Organization
87,openstack,Organization
86,mafintosh,User
85,uber,Organization
82,PacktPublishing,Organization
81,spring-projects,Organization
81,spotify,Organization
80,GoogleChromeLabs,Organization
80,Unity-Technologies,Organization
79,aws,Organization
79,thoughtbot,Organization
77,dotnet,Organization
76,linkedin,Organization
76,intel,Organization
75,elastic,Organization
75,tc39,Organization
74,tensorflow,Organization
74,twitter,Organization
74,jenkinsci,Organization
74,cloudflare,Organization
74,w3c,Organization
72,eclipse,Organization
72,nccgroup,Organization
71,JetBrains,Organization
71,Automattic,Organization
71,Shopify,Organization
71,egoist,User
70,atom,Organization
70,aspnet,Organization
70,IBM,Organization
70,heroku,Organization
70,bradtraversy,User
69,NVIDIA,Organization
69,mattn,User
68,airbnb,Organization
68,angular,Organization
68,hashicorp,Organization
68,maxogden,User
67,nodejs,Organization
67,ethereum,Organization
67,ropensci,Organization
66,vuejs,Organization
66,Esri,Organization
66,Azure-Samples,Organization
64,phodal,User
63,ionic-team,Organization
63,jxnblk,User
63,kentcdodds,User
62,rust-lang,Organization
62,JakeWharton,User
62,rstudio,Organization
61,tpope,User
61,florent37,User
60,docker,Organization
60,FormidableLabs,Organization
60,googleapis,Organization
60,dwyl,Organization
59,zeit,Organization
59,segmentio,Organization
59,mattdesl,User
58,auth0,Organization
58,ankane,User
57,nicklockwood,User
57,dropbox,Organization
57,thephpleague,Organization
57,r-lib,Organization
56,kelseyhightower,User
56,openai,Organization
56,react-native-community,Organization
56,feross,User
56,geerlingguy,User
55,apachecn,Organization
55,coreos,Organization
55,MicrosoftDocs,Organization
55,OpnTec,Organization
55,vim-scripts,User
54,wix,Organization
54,puppetlabs,Organization
54,fsprojects,Organization
54,aliyun,Organization
53,addyosmani,User
53,webpack-contrib,Organization
53,openresty,Organization
53,filamentgroup,Organization
52,apple,Organization
52,rails,Organization
52,koajs,Organization
52,expo,Organization
52,Yelp,Organization
52,algolia,Organization
52,KhronosGroup,Organization
52,ccoenraets,User
52,CyanogenMod,Organization
51,dart-lang,Organization
51,paypal,Organization
51,lukeed,User
50,kubernetes,Organization
50,OfficeDev,Organization
50,thunlp,Organization
50,developit,User
50,soffes,User
50,Wscats,User
50,react-component,Organization
49,npm,Organization
49,plotly,Organization
49,Yalantis,Organization
49,yahoo,Organization
49,clojure,Organization
49,deepmind,Organization
49,xamarin,Organization
49,stripe,Organization
49,nuxt-community,Organization
49,GNOME,Organization
49,dominictarr,User
49,WICG,Organization
48,ipfs,Organization
48,jamiebuilds,User
48,strongloop,Organization
48,firebase,Organization
48,zendframework,Organization
48,vmware,Organization
48,gajus,User
48,baidu,Organization
48,sparkfun,Organization
48,Apress,Organization
47,laravel,Organization
47,getsentry,Organization
47,rstacruz,User
47,bevacqua,User
47,rancher,Organization
47,nextcloud,Organization
47,nasa,Organization
47,basho,Organization
46,wesbos,User
46,oracle,Organization
46,creativetimofficial,Organization
46,mgechev,User
46,jonschlinkert,User
46,rhysd,User
46,WebReflection,User
46,KDE,Organization
46,maccman,User
46,ethz-asl,Organization
46,CodyHouse,Organization
46,OCA,Organization
45,d3,Organization
45,golang,Organization
45,hyperledger,Organization
45,kubernetes-sigs,Organization
45,mitsuhiko,User
45,Stratio,Organization
44,mongodb,Organization
44,OWASP,Organization
44,cloudwu,User
44,mono,Organization
44,creationix,User
44,RxSwiftCommunity,Organization
44,SAP,Organization
44,tencentyun,Organization
44,cloudfoundry,Organization
44,historicalsource,User
43,overtrue,User
43,insidegui,User
43,openshift,Organization
43,joyent,Organization
43,boostorg,Organization
43,salesforce,Organization
43,skeeto,User
43,18F,Organization
42,BurntSushi,User
42,zeromq,Organization
42,twitter-archive,Organization
42,IonicaBizau,User
42,pinterest,Organization
42,ConsenSys,Organization
42,mitchellh,User
42,facebookincubator,Organization
42,anvaka,User
42,YahooArchive,Organization
42,MicrosoftLearning,Organization
41,adobe,Organization
41,eggjs,Organization
41,fogleman,User
41,aosp-mirror,Organization
41,reactjs,Organization
41,allenai,Organization
41,googlecreativelab,Organization
41,ecomfe,Organization
41,spring-cloud,Organization
41,weavejester,User
41,grosser,User
41,zalando,Organization
41,thlorenz,User
41,EddyVerbruggen,User
41,bahmutov,User
41,DataDog,Organization
41,cornflourblue,User
41,hrbrmstr,User
40,johnpapa,User
40,mathiasbynens,User
40,google-research,Organization
40,palantir,Organization
40,gruntjs,Organization
40,naver,Organization
40,NVlabs,Organization
